time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:16.3,5.0029,0.1452,0.7262,2.931,0.005,,,5.0029,0.1454,0.7277,3.055,0.003,,
00:16.4,5.0029,0.1451,0.7261,3.031,0.005,,,5.0029,0.1454,0.7273,2.466,0.023,,
00:16.5,5.0029,0.1451,0.726,3.069,0.012,,,5.0029,0.1454,0.7272,3.056,0.002,0.0382,28
00:16.6,5.0029,0.1451,0.726,3.079,0.651,,,5.0029,0.1454,0.7272,3.058,1.079,,
00:16.7,5.0029,0.1451,0.726,3.071,0.01,,,5.0029,0.1454,0.7274,1.119,0.004,,
00:16.8,5.0029,0.1451,0.7259,1.783,0.019,,,5.0029,0.1454,0.7274,2.508,0.003,,
00:16.9,5.0029,0.1451,0.7261,3.048,0.002,,,5.0029,0.1454,0.7273,2.993,0.015,,
00:16.0,5.0029,0.1451,0.7261,3.098,0.008,,,5.0029,0.1454,0.7273,2.77,0.017,,
00:17.1,5.0029,0.1452,0.7263,3.061,0.003,0.0036,27.6,5.0016,0.1745,0.8728,3.06,0.005,,
00:17.2,5.003,0.1451,0.726,3.138,0.001,,,5,0.1766,0.8829,2.98,0.015,,
00:17.3,5.0029,0.1451,0.7259,3.05,0.006,,,4.999,0.1777,0.8885,3.052,0.002,,
00:17.4,5.0029,0.1451,0.7259,2.935,0.006,,,4.9984,0.1785,0.8921,3.067,0.065,,
00:17.5,5.0029,0.1451,0.726,3.079,0.091,,,4.9979,0.179,0.8945,3.255,0.003,0.0384,26.9
00:17.6,5.0029,0.1451,0.726,2.676,0.002,,,4.9978,0.1792,0.8958,3.041,0.003,,
00:17.7,5.0029,0.1451,0.7261,3.05,0.001,,,4.9996,0.1453,0.7264,3.269,0.015,,
00:17.8,5.0029,0.1452,0.7263,3.083,0.003,,,5.0008,0.1454,0.7272,3.043,0.796,,
00:17.9,5.0029,0.1452,0.7262,2.963,0.024,,,5.0017,0.1454,0.7274,3.063,0.044,,
00:17.0,5.003,0.1451,0.7259,3.142,0.002,,,5.0021,0.1454,0.7272,3.052,0.041,,
00:18.1,5.0029,0.1451,0.726,3.133,0.013,0.0038,27.2,5.0025,0.1453,0.7271,3.053,0.015,,
00:18.2,5.0029,0.1451,0.7259,3.073,0.65,,,5.0029,0.1454,0.7272,3.062,0.184,,
00:18.3,5.0029,0.1451,0.7261,3.075,0.095,,,5.0029,0.1454,0.7274,3.226,0.003,,
00:18.4,5.0029,0.1451,0.726,2.416,0.003,,,5.0029,0.1454,0.7275,2.487,0.005,,
00:18.5,5.0029,0.1451,0.7262,3.065,0.017,,,5.0029,0.1454,0.7273,3.08,0.002,0.0386,27.5
00:18.6,5.0029,0.1451,0.7261,3.087,0.007,,,5.0029,0.1454,0.7272,3.066,0.016,,
00:18.7,5.0029,0.1451,0.7261,3.036,2.426,,,5.0029,0.1453,0.7271,3.056,2.398,,
00:18.8,5.0029,0.1451,0.726,3.084,0.001,,,5.0029,0.1454,0.7273,2.923,0.005,,
00:18.9,5.0029,0.1451,0.726,3.066,0.002,,,5.0029,0.1455,0.7278,3.045,0.002,,
00:19.0,5.0029,0.1451,0.7261,3.058,0.005,0.004,26.9,5.0029,0.1454,0.7276,3.056,0.025,,
00:19.1,5.0029,0.1451,0.726,3.046,0.003,,,5.0029,0.1454,0.7276,1.262,0.003,,
00:19.2,5.0029,0.1451,0.7262,3.052,0.005,,,5.0029,0.1454,0.7273,2.569,0.003,,
00:19.3,5.003,0.1452,0.7262,3.044,0.001,,,5.0029,0.1454,0.7272,3.059,0.002,,
00:19.4,5.003,0.1451,0.726,3.052,0.005,,,5.0029,0.1454,0.7273,0.979,0.006,,
00:19.5,5.0029,0.1451,0.726,2.961,0.007,,,5.0029,0.1454,0.7274,3.05,0.014,0.0388,27.8
00:19.6,5.0029,0.1451,0.7259,0.119,0.016,,,5.0029,0.1454,0.7274,3.063,0.026,,
00:19.7,5.0029,0.1451,0.7258,3.05,0.009,,,5.0029,0.1454,0.7274,3.061,0.011,,
00:19.8,5.0029,0.1451,0.726,3.049,0.012,,,5.0029,0.1454,0.7273,3.064,0.136,,
00:19.9,5.0029,0.1451,0.7261,3.048,0.003,,,5.0021,0.1739,0.87,3.061,0.016,,
00:20.0,5.0029,0.1451,0.7261,3.065,0.003,0.0042,28.5,5.0004,0.1763,0.8815,2.947,0.01,,
00:20.1,5.0029,0.1451,0.726,3.05,0.002,,,4.9992,0.1776,0.8878,3.02,0.014,,
00:20.2,5.0029,0.1451,0.7259,3.067,0.004,,,4.9988,0.1784,0.8918,3.045,0.125,,
00:20.3,5.0028,0.1451,0.7258,2.794,0.004,,,4.9986,0.1788,0.8939,3.072,0.353,,
00:20.4,5.0029,0.1451,0.7258,3.059,0.079,,,4.9983,0.1791,0.8954,3.07,0.016,,
00:20.5,5.0028,0.1451,0.7259,3.097,0.003,,,4.9979,0.1793,0.8961,0.953,0.002,0.039,27.4
